Artist Name,Begin Area,Age,Deceased
Benson Boone,Monroe,21,No
Djo,Newburyport,32,No
Tate McRae,Calgary,20,No
Sabrina Carpenter,Artist not found
Future,Atlanta,40,No
Taylor Swift,West Reading,34,No
Noah Kahan,Strafford,27,No
Mitski,Mie,33,No
SZA,St. Louis,34,No
Teddy Swims,Conyers,31,No
The Weeknd,Scarborough,34,No
ILLIT,Seoul,0,No
Jack Harlow,Louisville,26,No
21 Savage,Plaistow,31,No
Ariana Grande,Boca Raton,30,No
Mark Ambor,Artist not found
Dasha,Artist not found
Tyla,Artist not found
Zach Bryan,Okinawa,28,No
Billie Eilish,Los Angeles,22,No
Feid,Medellín,31,No
Myke Towers,Río Piedras,30,No
Bad Bunny,San Juan,30,No
Rvssian,Kingston,34,No
Bizarrap,Argentina,Birth date incomplete or improperly formatted,No
KAROL G,Medellín,33,No
Julión Álvarez y su Norteño Banda,Artist not found
Peso Pluma,Artist not found
Oscar Ortiz,Artist not found
Kali Uchis,Artist not found
Mesita,Artist not found
Tiago PZK,Monte Grande,22,No
Young Miko,Puerto Rico,25,No
Rauw Alejandro,San Juan,31,No
Bhavi,Brussels,26,No
Blessd,Antioquia,24,No
Christian Nodal,Sonora,25,No
